Folder	File	Author	Title	Genre	Updated	Lang	Series	Annotation	Keywords	PublishYear
f.usr-430933-433654.7z	The Red Web The Struggle Between Russia's Digital Dictators and the New Online Revolutionaries.epub	Soldatov,Andrei,:	The Red Web		2026-09-01	en				
f.usr-433655-437059.7z	Andrey Platonovich Platonov_Zelenyy drayver.epub	Саблин,Роман,:	Зелёный Драйвер	sci_ecology:экологическое движение:личностный рост:саморазвитие:	2026-09-01	ru				
f.usr-433655-437059.7z	Mishel Zevako_Tribule.fb2	Зевако,Мишель,:	Трибуле	foreign_contemporary:prose_history:foreign_adventure:adv_history:	2016-02-20	ru	Рагастены#2	<p>Король Франции Франциск I спятил. Шутка ли, в свои пятьдесят влюбиться в семнадцатилетнюю! Все придворные готовы кивать и поддакивать нестареющему монарху, лишь шут Трибуле не весел. На его всегда улыбающемся лице затаился страх.</p><p>Пока в Лувре решают, кто больший дурак – король или его шут, в Париж, город своего детства, возвращается шевалье де Рагастен. Его цель – найти и вернуть то, что он потерял. Рагастен знает, где искать, но при всей своей силе и отваге понимает – сделать это в одиночку практически невозможно. Есть в Париже место, проникнув в которое, любой смертный может обрести бессмертие, если о нем будет кому вспоминать. За помощью Рагастен решает обратиться к королю…</p><p>Роман французского писателя Мишеля Зевако, владевшего пером так же легко, как и шпагой, погружает читателей в бурную эпоху Ренессанса. На свой особый манер он рассказывает историю, которая стара как мир. Историю, прославленную когда-то в пьесе Гюго и воспетую в бессмертной опере Верди.</p><p>На русском языке публикуется впервые.</p>	история Франции,исторические романы,ренессанс,захватывающие приключения	2015
f.usr-437060-440800.7z	Ace Atkins_The Broken Places.epub	Atkins,Ace,:	The Broken Places	mystery:Thriller:	2026-09-01	en				
f.usr-437060-440800.7z	Ace Atkins_The Lost Ones.epub	Atkins,Ace,:	The Lost Ones	unread:	2026-09-01	en				
f.usr-437060-440800.7z	Ace Atkins_The Ranger.epub	Atkins,Ace,:	The Ranger	Quinn Colson:	2026-09-01	en				
f.usr-437060-440800.7z	Against the Wind.epub	Freedman,J.,F.:	Against the Wind	Suspense:	2026-09-01	en				
f.usr-437060-440800.7z	Chayna Mevill_Children of Cthulhu Chilling New Tales Inspired by H.P. Lovecraft.epub	Pelan,John,:	The Children of Cthulhu		2026-09-01	en				
f.usr-437060-440800.7z	Christian Keur_iOS Programming The Big Nerd Ranch Guide, 5th Edition.epub	Christian,Keur,,:Aaron,Hillegass,,:	iOS Programming: The Big Nerd Ranch Guide	Big Nerd Ranch Guides:COM051370:iOS Programming:iPhone Programming:iPad Programming:Xcode:Swift Programming:	2026-09-01	en				
f.usr-437060-440800.7z	Duglas Krokford_JavaScript The Good Parts.epub	Crockford,Douglas,:	JavaScript: The Good Parts	computers:Programming Languages:JavaScript:	2026-09-01	en				
f.usr-437060-440800.7z	Dzh F. Fridman_The Disappearance.epub	Freedman,J.,F.:	The Disappearance	Suspense:	2026-09-01	en				
f.usr-437060-440800.7z	Dzh F. Fridman_The Obstacle Course.epub	Freedman,JF,:	The Obstacle Course	USA:	2026-09-01	en				
f.usr-437060-440800.7z	Graduates in Wonderland The International Misadventures of Two (Almost) Adults.epub	Pan,Jessica,:	Graduates in Wonderland		2026-09-01	en				
f.usr-437060-440800.7z	Konstantin Belichenko_1.Kupec ponevole . Часть-2.fb2	Беличенко,Константин,:	Купец поневоле. Часть 2	network_literature:popadancy:	2016-03-25	ru				
f.usr-437060-440800.7z	Konstantin Belichenko_1.Kupec ponevole . Часть-3.fb2	Беличенко,Константин,:	Купец поневоле. Часть 3	network_literature:popadancy:	2016-03-25	ru				
f.usr-437060-440800.7z	Konstantin Belichenko_1.Kupec ponevole . часть - 1.fb2				2016-03-04	en				
f.usr-437060-440800.7z	Triumph of the City How Our Greatest Invention Makes Us Richer, Smarter, Greener, Healthier, and Happier.epub	Glaeser,Edward,:	Triumph of the City		2026-09-01	fr				
f.usr-440801-444899.7z	Dzhin Kellahan_Ekonomika dlya obychnyh lyudey Osnovy avstriyskoy ekonomicheskoy shkoly.epub	Кэллахан,Джин,:	Экономика для обычных людей: Основы австрийской экономической школы	economics:banking:popular_business:stock:	2026-09-01	ru				
f.usr-440801-444899.7z	Lirika drevney Ellady v perevodah russkih poetov.epub	Admin,,:	Unknown		2026-09-01	ru				
f.usr-440801-444899.7z	Sharing Big Data Safely Managing Data Security.epub	Dunning,Ted,:	Sharing Big Data Safely		2026-09-01	en				
f.usr-444900-449234.7z	Saymon Dzhonatan Sebag Montefiore_The Romanovs 1613-1918.epub	Montefiore,Simon,Sebag:	The Romanovs		2026-09-01	en				
f.usr-449235-452905.7z	Clark Ashton Smith The Collected Fantasies 2 - The Door to Saturn.epub	Smith,Clark,Ashton:	The Door to Saturn	Fantasy Fiction:Comics & Graphic Novels:General:fantasy_all_root:American:sf_all_root:Short Stories:	2026-09-01	en				
f.usr-449235-452905.7z	Clark Ashton Smith The Collected Fantasies 3 - A Vintage From Atlantis.epub	Smith,Clark,Ashton:	A Vintage From Atlantis	Fantasy Fiction:Comics & Graphic Novels:General:fantasy_all_root:American:sf_all_root:Short Stories:	2026-09-01	en				
f.usr-449235-452905.7z	Clark Ashton Smith The Collected Fantasies 4 - The Maze of the Enchanter.epub	Smith,Clark,Ashton:	The Maze of the Enchanter	fantasy_all_root:sf_all_root:Short Stories:	2026-09-01	en				
f.usr-449235-452905.7z	Clark Ashton Smith [The Collected Fantasies 5] - The Last Hieroglyph.epub	Smith,Clark,Ashton:	The Last Hieroglyph	Fantasy Fiction:fantasy_all_root:American:sf_all_root:Short Stories:	2026-09-01	en				
f.usr-449235-452905.7z	Pagava Mamuka_Borba za budushchee Introekciya.epub	Пагава,Мамука,:	Борьба за будущее: Интроекция	prose_contemporary:	2026-09-01	ru				
f.usr-456073-459343.7z	Anonimnye Narkomany - Bazovyy Tekst.epub	Емельянович,Юрий,:	Основная Книга АН (4 правка)		2026-09-01	en				
f.usr-456073-459343.7z	Viktor Karakol - Kniga pervaya - Nachalo Kazhdogo Dnya.epub	XLBaron,,:	Мир второго солнца		2026-09-01	en				
f.usr-456073-459343.7z	Viktor Karakol - Kniga vtoraya - Koldun Epohi Edo.epub	XLBaron,,:	Виктор Караколь – книга вторая, «Колдун Эпохи Эдо»		2026-09-01	en				
f.usr-456073-459343.7z	Viktor Karakol - Omen.epub	Караколь,Виктор,:	Виктор Караколь - Omen		2026-09-01	en				
f.usr-459344-462296.7z	Fiziologicheskoe_uchenie_akademika_I._P._Pavlova_v_psihiatrii_i_nevropatologii_(11_--_15_oktyabrya_1951_g).epub	М. Банщиков, Н. В. Коновалов, С. В. Курашов и др.,Ред.,Б.:	«Физиологическое учение академика И. П. Павлова в психиатрии и невропатологии». Материалы стенографического отчета объединенного заседания расширенного Президиума АМН СССР и пленума Правления Всесоюзного общества невропаталогов и психиатров (11 — 15 октября 1951 г).		2026-09-01	ru				
f.usr-462297-464694.7z	Blayne_Cooper_Zateryannye_v_okeane.htm.fb2	Unknown,,:	Unknown	drama_antique:	2016-10-05	ru				
f.usr-462297-464694.7z	Luiza_Penni_The_Nature_of_the_Beast.epub	Penny,Louise,:	The Nature of the Beast		2026-09-01	en				
f.usr-462297-464694.7z	Mihail_Belov_-_Roman_09.epub	Natalya,,:	Untitled		2026-09-01	en				
f.usr-464695-467681.7z	Nebo_dlya_dvoih.fb2		Небо на двоих		2016-11-14	ru				
f.usr-464695-467681.7z	Vladimir_Kirsanov___31._Russkie_gei,_lesbiyanki,_biseksualy_i_transseksualy.epub	Кирсанов,Владимир,:	+31. Русские геи, лесбиянки, бисексуалы и трансгендеры		2026-09-01	ru				
f.usr-467682-471133.7z	Oksana_Nikolaevna_Sergeeva_Raskalennyy_kapkan._Stavka_na_vybyvanie.fb2	Сергеева,Оксана,Николаевна:	Раскаленный капкан	love_contemporary:unfinished:network_literature:	2016-12-20	ru				
f.usr-467682-471133.7z	guru1_Piraty_Flibusty.epub	guru1,,:	Пираты Флибусты	humor_prose:poetry_all_root:romance_fantasy:	2026-09-01	ru				
f.usr-471134-473832.7z	Kultura_i_vyrozhdenie.epub	Бумке,Освальд,:	Культура и вырождение		2026-09-01	ru				
f.usr-471134-473832.7z	Said_Zakirovich_Gafurov_Iniciativa__Partnerstvo_dlya_modernizacii_.epub		parnertstvo-dlya-M		2026-09-01	ru				
f.usr-473833-476870.7z	Andrey_Grigorevich_Tartakovskiy_Nerazgadannyy_Barklay._Legendy_i_byl_1812_goda.epub	А.Г.Тартаковский,,:	Неразгаданный Барклай. Легенды и быль 1812 года		2026-09-01	ru				
f.usr-473833-476870.7z	Troickiy_Nikolay_Alekseevich_Bezumstvo_hrabryh._Russkie_revolyucionery_i_karatelnaya_politika_carizma_1866--1882_gg.epub	Троицкий,Н.А.,:	Безумство храбрых. Русские революционеры и карательная политика царизма 1866 1882 гг.		2026-09-01	ru				
f.usr-476871-480576.7z	Michael_G._Manning_Centyr_Dominance.epub	Manning,Michael,G.:	Centyr Dominance		2026-09-01	en				
f.usr-476871-480576.7z	Michael_G._Manning_Thornbear.epub	Manning,MIchael,G.:	Thornbear (Champions of the Dawning Dragons)	prose_magic:knight:sword:fantasy_all_root:mage:wizard:	2026-09-01	en				
f.usr-480577-484748.7z	Valeriy_Dmitrievich_Solovey__Osenyu_protesty_mogut_vyyti_na_drugoy_uroven_.epub	Соловей,Валерий,:	Осенью протесты могут выйти на другой уровень		2026-09-01	ru				
f.usr-480577-484748.7z	Zachary_Rawlins_The_Far_Shores.epub	Zachary,Rawlins,,:	The Far Shores (The Central Series)		2026-09-01	en				
f.usr-480577-484748.7z	Zachary_Rawlins_The_Outer_Dark.epub	Rawlins,Zachary,:	The Outer Dark (Central Series Book 4)		2026-09-01	en				
f.usr-484749-489359.7z	Mastering_JBoss_Drools_6.epub	Salantino,Mauricio,:	mastering-jboss-drools-6-for-developers-mauricio-salatino		2026-09-01	en				
f.usr-489360-492346.7z	Charlz_Dahigg_Sila_zvichki._Chomu_mi_diiemo_tak,_a_ne_inakshe_v_zhitti_ta_biznesi.epub	Чарлз,ДАХІҐҐ,:	Сила звички. Чому ми діємо так, а не інакше в житті та бізнесі		2026-09-01	uk				
f.usr-489360-492346.7z	Christopher_Nuttall_Fists_of_Justice.epub	Nuttall,Christopher,:	Fists of Justice (Schooled in Magic Book 12)	magicians:prose_magic:alternate world:fantasy_all_root:young adult:sorcerers:	2026-09-01	en				
